#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_a_coruna;A Coruña;A Coruña;A Coruña;;A Coruña;;;;;;;;;x
b_bekescsaba_5;Bekescsaba;Bekescsaba;Bekescsaba;;Bekescsaba;;;;;;;;;x
b_bekescsaba_5_adj;Bekescsaban;;bekescsaber;;;;;;;;;;;x
b_bela;Bela;Bela;Bela;;Bela;;;;;;;;;x
b_bela_adj;Belan;;beler;;;;;;;;;;;x
b_bela_2;Bela;Bela;Bela;;Bela;;;;;;;;;x
b_bela_2_adj;Belan;;beler;;;;;;;;;;;x
b_bela_3;Bela;Bela;Bela;;Bela;;;;;;;;;x
b_bela_3_adj;Belan;;beler;;;;;;;;;;;x
b_bela_4;Bela;Bela;Bela;;Bela;;;;;;;;;x
b_bela_4_adj;Belan;;beler;;;;;;;;;;;x
b_bela_5;Bela;Bela;Bela;;Bela;;;;;;;;;x
b_bela_5_adj;Belan;;beler;;;;;;;;;;;x
b_belfast;Belfast;Belfast;Belfast;;Belfast;;;;;;;;;x
b_belfast_adj;Belfastian;;belfaster;;;;;;;;;;;x
b_belfast_2;Belfast;Belfast;Belfast;;Belfast;;;;;;;;;x
b_belfast_2_adj;Belfastian;;belfaster;;;;;;;;;;;x
b_belfast_3;Belfast;Belfast;Belfast;;Belfast;;;;;;;;;x
b_belfast_3_adj;Belfastian;;belfaster;;;;;;;;;;;x
b_belfast_4;Belfast;Belfast;Belfast;;Belfast;;;;;;;;;x
b_belfast_4_adj;Belfastian;;belfaster;;;;;;;;;;;x
b_belfast_5;Belfast;Belfast;Belfast;;Belfast;;;;;;;;;x
b_belfast_5_adj;Belfastian;;belfaster;;;;;;;;;;;x
b_belgaum;Belgaum;Belgaum;Belgaum;;Belgaum;;;;;;;;;x
b_belgaum_adj;Belgaumian;;belgaumer;;;;;;;;;;;x
b_belgaum_2;Belgaum;Belgaum;Belgaum;;Belgaum;;;;;;;;;x
b_belgaum_2_adj;Belgaumian;;belgaumer;;;;;;;;;;;x
b_belgaum_3;Belgaum;Belgaum;Belgaum;;Belgaum;;;;;;;;;x
b_belgaum_3_adj;Belgaumian;;belgaumer;;;;;;;;;;;x
b_belgaum_4;Belgaum;Belgaum;Belgaum;;Belgaum;;;;;;;;;x
b_belgaum_4_adj;Belgaumian;;belgaumer;;;;;;;;;;;x
b_belgaum_5;Belgaum;Belgaum;Belgaum;;Belgaum;;;;;;;;;x
b_belgaum_5_adj;Belgaumian;;belgaumer;;;;;;;;;;;x
b_belgorod;Belgorod;Belgorod;Belgorod;;Belgorod;;;;;;;;;x
b_belgorod_adj;Belgorodian;;belgoroder;;;;;;;;;;;x
b_belgorod_2;Belgorod;Belgorod;Belgorod;;Belgorod;;;;;;;;;x
b_belgorod_2_adj;Belgorodian;;belgoroder;;;;;;;;;;;x
b_belgorod_3;Belgorod;Belgorod;Belgorod;;Belgorod;;;;;;;;;x
b_belgorod_3_adj;Belgorodian;;belgoroder;;;;;;;;;;;x
b_belgorod_4;Belgorod;Belgorod;Belgorod;;Belgorod;;;;;;;;;x
b_belgorod_4_adj;Belgorodian;;belgoroder;;;;;;;;;;;x
b_belgorod_5;Belgorod;Belgorod;Belgorod;;Belgorod;;;;;;;;;x
b_belgorod_5_adj;Belgorodian;;belgoroder;;;;;;;;;;;x
b_belozersk;Belozersk;Belozersk;Belozersk;;Belozersk;;;;;;;;;x
b_belozersk_adj;Belozerskian;;belozersker;;;;;;;;;;;x
b_belozersk_2;Belozersk;Belozersk;Belozersk;;Belozersk;;;;;;;;;x
b_belozersk_2_adj;Belozerskian;;belozersker;;;;;;;;;;;x
b_belozersk_3;Belozersk;Belozersk;Belozersk;;Belozersk;;;;;;;;;x
b_belozersk_3_adj;Belozerskian;;belozersker;;;;;;;;;;;x
b_belozersk_4;Belozersk;Belozersk;Belozersk;;Belozersk;;;;;;;;;x
b_belozersk_4_adj;Belozerskian;;belozersker;;;;;;;;;;;x
b_belozersk_5;Belozersk;Belozersk;Belozersk;;Belozersk;;;;;;;;;x
b_belozersk_5_adj;Belozerskian;;belozersker;;;;;;;;;;;x
b_benares;Benares;Benares;Benares;;Benares;;;;;;;;;x
b_benares_adj;Benaresian;;benareser;;;;;;;;;;;x
b_benares_2;Benares;Benares;Benares;;Benares;;;;;;;;;x
b_benares_2_adj;Benaresian;;benareser;;;;;;;;;;;x
b_benares_3;Benares;Benares;Benares;;Benares;;;;;;;;;x
b_benares_3_adj;Benaresian;;benareser;;;;;;;;;;;x
b_benares_4;Benares;Benares;Benares;;Benares;;;;;;;;;x
b_benares_4_adj;Benaresian;;benareser;;;;;;;;;;;x
b_benares_5;Benares;Benares;Benares;;Benares;;;;;;;;;x
b_benares_5_adj;Benaresian;;benareser;;;;;;;;;;;x
b_bendery;Bendery;Bendery;Bendery;;Bendery;;;;;;;;;x
b_bendery_adj;Benderian;;benderer;;;;;;;;;;;x
b_benghazi;Benghazi;Benghazi;Benghazi;;Benghazi;;;;;;;;;x
b_benghazi_adj;Benghazian;;benghazer;;;;;;;;;;;x
b_benghazi_2;Benghazi;Benghazi;Benghazi;;Benghazi;;;;;;;;;x
b_benghazi_2_adj;Benghazian;;benghazer;;;;;;;;;;;x
b_benghazi_3;Benghazi;Benghazi;Benghazi;;Benghazi;;;;;;;;;x
b_benghazi_3_adj;Benghazian;;benghazer;;;;;;;;;;;x
b_benghazi_4;Benghazi;Benghazi;Benghazi;;Benghazi;;;;;;;;;x
b_benghazi_4_adj;Benghazian;;benghazer;;;;;;;;;;;x
b_benghazi_5;Benghazi;Benghazi;Benghazi;;Benghazi;;;;;;;;;x
b_benghazi_5_adj;Benghazian;;benghazer;;;;;;;;;;;x
b_benin;Benin;Benin;Benin;;Benin;;;;;;;;;x
b_benin_adj;Beninian;;beniner;;;;;;;;;;;x
b_benin_2;Benin;Benin;Benin;;Benin;;;;;;;;;x
b_benin_2_adj;Beninian;;beniner;;;;;;;;;;;x
b_benin_3;Benin;Benin;Benin;;Benin;;;;;;;;;x
b_benin_3_adj;Beninian;;beniner;;;;;;;;;;;x
b_benin_4;Benin;Benin;Benin;;Benin;;;;;;;;;x
b_benin_4_adj;Beninian;;beniner;;;;;;;;;;;x
b_benin_5;Benin;Benin;Benin;;Benin;;;;;;;;;x
b_benin_5_adj;Beninian;;beniner;;;;;;;;;;;x
b_beograd;Beograd;Beograd;Beograd;;Beograd;;;;;;;;;x
b_beograd_adj;Beogradian;;beograder;;;;;;;;;;;x
b_beograd_2;Beograd;Beograd;Beograd;;Beograd;;;;;;;;;x
b_beograd_2_adj;Beogradian;;beograder;;;;;;;;;;;x
b_beograd_3;Beograd;Beograd;Beograd;;Beograd;;;;;;;;;x
b_beograd_3_adj;Beogradian;;beograder;;;;;;;;;;;x
b_beograd_4;Beograd;Beograd;Beograd;;Beograd;;;;;;;;;x
b_beograd_4_adj;Beogradian;;beograder;;;;;;;;;;;x
b_beograd_5;Beograd;Beograd;Beograd;;Beograd;;;;;;;;;x
b_beograd_5_adj;Beogradian;;beograder;;;;;;;;;;;x
b_berezov;Berezov;Berezov;Berezov;;Berezov;;;;;;;;;x
b_berezov_adj;Berezovian;;berezover;;;;;;;;;;;x
b_berezov_2;Berezov;Berezov;Berezov;;Berezov;;;;;;;;;x
b_berezov_2_adj;Berezovian;;berezover;;;;;;;;;;;x
b_berezov_3;Berezov;Berezov;Berezov;;Berezov;;;;;;;;;x
b_berezov_3_adj;Berezovian;;berezover;;;;;;;;;;;x
b_berezov_4;Berezov;Berezov;Berezov;;Berezov;;;;;;;;;x
b_berezov_4_adj;Berezovian;;berezover;;;;;;;;;;;x
b_berezov_5;Berezov;Berezov;Berezov;;Berezov;;;;;;;;;x
b_berezov_5_adj;Berezovian;;berezover;;;;;;;;;;;x
b_berg;Berg;Berg;Berg;;Berg;;;;;;;;;x
b_berg_adj;Bergian;;berger;;;;;;;;;;;x
b_bergamo;Bergamo;Bergamo;Bergamo;;Bergamo;;;;;;;;;x
b_bergamo_adj;Bergamian;;bergamer;;;;;;;;;;;x
b_bergamo_2;Bergamo;Bergamo;Bergamo;;Bergamo;;;;;;;;;x
b_bergamo_2_adj;Bergamian;;bergamer;;;;;;;;;;;x
b_bergamo_3;Bergamo;Bergamo;Bergamo;;Bergamo;;;;;;;;;x
b_bergamo_3_adj;Bergamian;;bergamer;;;;;;;;;;;x
b_bergamo_4;Bergamo;Bergamo;Bergamo;;Bergamo;;;;;;;;;x
b_bergamo_4_adj;Bergamian;;bergamer;;;;;;;;;;;x
b_bergamo_5;Bergamo;Bergamo;Bergamo;;Bergamo;;;;;;;;;x
b_bergamo_5_adj;Bergamian;;bergamer;;;;;;;;;;;x
b_bergen;Bergen;Bergen;Bergen;;Bergen;;;;;;;;;x
b_bergen_adj;Bergenian;;bergener;;;;;;;;;;;x
b_bergen_2;Bergen;Bergen;Bergen;;Bergen;;;;;;;;;x
b_bergen_2_adj;Bergenian;;bergener;;;;;;;;;;;x
b_bergen_3;Bergen;Bergen;Bergen;;Bergen;;;;;;;;;x
b_bergen_3_adj;Bergenian;;bergener;;;;;;;;;;;x
b_bergen_4;Bergen;Bergen;Bergen;;Bergen;;;;;;;;;x
b_bergen_4_adj;Bergenian;;bergener;;;;;;;;;;;x
b_bergen_5;Bergen;Bergen;Bergen;;Bergen;;;;;;;;;x
b_bergen_5_adj;Bergenian;;bergener;;;;;;;;;;;x
b_berlin;Berlin;Berlin;Berlin;;Berlin;;;;;;;;;x
b_berlin_adj;Berlinian;;berliner;;;;;;;;;;;x
b_berlin_2;Berlin;Berlin;Berlin;;Berlin;;;;;;;;;x
b_berlin_2_adj;Berlinian;;berliner;;;;;;;;;;;x
b_berlin_3;Berlin;Berlin;Berlin;;Berlin;;;;;;;;;x
b_berlin_3_adj;Berlinian;;berliner;;;;;;;;;;;x
b_berlin_4;Berlin;Berlin;Berlin;;Berlin;;;;;;;;;x
b_berlin_4_adj;Berlinian;;berliner;;;;;;;;;;;x
b_berlin_5;Berlin;Berlin;Berlin;;Berlin;;;;;;;;;x
b_berlin_5_adj;Berlinian;;berliner;;;;;;;;;;;x
b_berlin_6;Berlin;Berlin;Berlin;;Berlin;;;;;;;;;x
b_berlin_6_adj;Berlinian;;berliner;;;;;;;;;;;x
b_berliner_stadtschloss;Berliner Stadtschloss;Berliner Stadtschloss;Berliner Stadtschloss;;Berliner Stadtschloss;;;;;;;;;x
b_berliner_stadtschloss_adj;Berliner Stadtschlossian;;Berliner Stadtschlosser;;;;;;;;;;;x
b_bern;Bern;Bern;Bern;;Bern;;;;;;;;;x
b_bern_adj;Bernian;;berner;;;;;;;;;;;x
b_bern_2;Bern;Bern;Bern;;Bern;;;;;;;;;x
b_bern_2_adj;Bernian;;berner;;;;;;;;;;;x
b_bern_3;Bern;Bern;Bern;;Bern;;;;;;;;;x
b_bern_3_adj;Bernian;;berner;;;;;;;;;;;x
b_bern_4;Bern;Bern;Bern;;Bern;;;;;;;;;x
b_bern_4_adj;Bernian;;berner;;;;;;;;;;;x
b_bern_5;Bern;Bern;Bern;;Bern;;;;;;;;;x
b_bern_5_adj;Bernian;;berner;;;;;;;;;;;x
b_bertoua;Bertoua;Bertoua;Bertoua;;Bertoua;;;;;;;;;x
b_bertoua_adj;Bertouan;;berter;;;;;;;;;;;x
b_bertoua_2;Bertoua;Bertoua;Bertoua;;Bertoua;;;;;;;;;x
b_bertoua_2_adj;Bertouan;;berter;;;;;;;;;;;x
b_bertoua_3;Bertoua;Bertoua;Bertoua;;Bertoua;;;;;;;;;x
b_bertoua_3_adj;Bertouan;;berter;;;;;;;;;;;x
b_bertoua_4;Bertoua;Bertoua;Bertoua;;Bertoua;;;;;;;;;x
b_bertoua_4_adj;Bertouan;;berter;;;;;;;;;;;x
b_bertoua_5;Bertoua;Bertoua;Bertoua;;Bertoua;;;;;;;;;x
b_bertoua_5_adj;Bertouan;;berter;;;;;;;;;;;x
b_besancon;Besançon;Besançon;Besançon;;Besançon;;;;;;;;;x
b_besancon_adj;Besançonian;;besançoner;;;;;;;;;;;x
b_besancon_2;Besançon;Besançon;Besançon;;Besançon;;;;;;;;;x
b_besancon_2_adj;Besançonian;;besançoner;;;;;;;;;;;x
b_besancon_3;Besançon;Besançon;Besançon;;Besançon;;;;;;;;;x
b_besancon_3_adj;Besançonian;;besançoner;;;;;;;;;;;x
b_besancon_4;Besançon;Besançon;Besançon;;Besançon;;;;;;;;;x
b_besancon_4_adj;Besançonian;;besançoner;;;;;;;;;;;x
b_besancon_5;Besançon;Besançon;Besançon;;Besançon;;;;;;;;;x
b_besancon_5_adj;Besançonian;;besançoner;;;;;;;;;;;x
b_bet_hamikdash;Bet HaMikdash;Bet HaMikdash;Bet HaMikdash;;Bet HaMikdash;;;;;;;;;x
b_bet_hamikdash_adj;Bet HaMikdashian;;Bet HaMikdasher;;;;;;;;;;;x
b_bethlehem;Bethlehem;Bethlehem;Bethlehem;;Bethlehem;;;;;;;;;x
b_bethlehem_adj;Bethlehemian;;bethlehemer;;;;;;;;;;;x
b_betzdorf;Betzdorf;Betzdorf;Betzdorf;;Betzdorf;;;;;;;;;x
b_betzdorf_adj;Betzdorfian;;betzdorfer;;;;;;;;;;;x
b_beyla;Beyla;Beyla;Beyla;;Beyla;;;;;;;;;x
b_beyla_adj;Beylan;;beyler;;;;;;;;;;;x
b_beyla_2;Beyla;Beyla;Beyla;;Beyla;;;;;;;;;x
b_beyla_2_adj;Beylan;;beyler;;;;;;;;;;;x
b_beyla_3;Beyla;Beyla;Beyla;;Beyla;;;;;;;;;x
b_beyla_3_adj;Beylan;;beyler;;;;;;;;;;;x
b_beyla_4;Beyla;Beyla;Beyla;;Beyla;;;;;;;;;x
b_beyla_4_adj;Beylan;;beyler;;;;;;;;;;;x
b_beyla_5;Beyla;Beyla;Beyla;;Beyla;;;;;;;;;x
b_beyla_5_adj;Beylan;;beyler;;;;;;;;;;;x
b_bhagalpur;Bhagalpur;Bhagalpur;Bhagalpur;;Bhagalpur;;;;;;;;;x
b_bhagalpur_adj;Bhagalpurian;;bhagalpurer;;;;;;;;;;;x
b_bhagalpur_2;Bhagalpur;Bhagalpur;Bhagalpur;;Bhagalpur;;;;;;;;;x
b_bhagalpur_2_adj;Bhagalpurian;;bhagalpurer;;;;;;;;;;;x
b_bhagalpur_3;Bhagalpur;Bhagalpur;Bhagalpur;;Bhagalpur;;;;;;;;;x
b_bhagalpur_3_adj;Bhagalpurian;;bhagalpurer;;;;;;;;;;;x
b_bhagalpur_4;Bhagalpur;Bhagalpur;Bhagalpur;;Bhagalpur;;;;;;;;;x
b_bhagalpur_4_adj;Bhagalpurian;;bhagalpurer;;;;;;;;;;;x
b_bhagalpur_5;Bhagalpur;Bhagalpur;Bhagalpur;;Bhagalpur;;;;;;;;;x
b_bhagalpur_5_adj;Bhagalpurian;;bhagalpurer;;;;;;;;;;;x
b_bhopal;Bhopal;Bhopal;Bhopal;;Bhopal;;;;;;;;;x
b_bhopal_adj;Bhopalian;;bhopaler;;;;;;;;;;;x
b_bhopal_2;Bhopal;Bhopal;Bhopal;;Bhopal;;;;;;;;;x
b_bhopal_2_adj;Bhopalian;;bhopaler;;;;;;;;;;;x
b_bhopal_3;Bhopal;Bhopal;Bhopal;;Bhopal;;;;;;;;;x
b_bhopal_3_adj;Bhopalian;;bhopaler;;;;;;;;;;;x
b_bhopal_4;Bhopal;Bhopal;Bhopal;;Bhopal;;;;;;;;;x
b_bhopal_4_adj;Bhopalian;;bhopaler;;;;;;;;;;;x
b_bhopal_5;Bhopal;Bhopal;Bhopal;;Bhopal;;;;;;;;;x
b_bhopal_5_adj;Bhopalian;;bhopaler;;;;;;;;;;;x
b_biala_fabryka;Biala Fabryka;Biala Fabryka;Biala Fabryka;;Biala Fabryka;;;;;;;;;x
b_biala_fabryka_adj;Biala Fabrykan;;Biala Fabryker;;;;;;;;;;;x
b_biala_podlaska;Biala Podlaska;Biala Podlaska;Biala Podlaska;;Biala Podlaska;;;;;;;;;x
b_biala_podlaska_adj;Biala Podlaskan;;Biala Podlasker;;;;;;;;;;;x
b_bialowieza;Bialowieza;Bialowieza;Bialowieza;;Bialowieza;;;;;;;;;x
b_bialowieza_adj;Bialowiezan;;bialowiezer;;;;;;;;;;;x
b_bialystok;Bialystok;Bialystok;Bialystok;;Bialystok;;;;;;;;;x
b_bialystok_adj;Bialystokian;;bialystoker;;;;;;;;;;;x
b_bialystok_2;Bialystok;Bialystok;Bialystok;;Bialystok;;;;;;;;;x
b_bialystok_2_adj;Bialystokian;;bialystoker;;;;;;;;;;;x
b_bialystok_3;Bialystok;Bialystok;Bialystok;;Bialystok;;;;;;;;;x
b_bialystok_3_adj;Bialystokian;;bialystoker;;;;;;;;;;;x
b_bida;Bida;Bida;Bida;;Bida;;;;;;;;;x
b_bida_adj;Bidan;;bider;;;;;;;;;;;x
b_bida_2;Bida;Bida;Bida;;Bida;;;;;;;;;x
b_bida_2_adj;Bidan;;bider;;;;;;;;;;;x
b_bida_3;Bida;Bida;Bida;;Bida;;;;;;;;;x
b_bida_3_adj;Bidan;;bider;;;;;;;;;;;x
b_bida_4;Bida;Bida;Bida;;Bida;;;;;;;;;x
b_bida_4_adj;Bidan;;bider;;;;;;;;;;;x
b_bida_5;Bida;Bida;Bida;;Bida;;;;;;;;;x
b_bida_5_adj;Bidan;;bider;;;;;;;;;;;x
b_bielsko;Bielsko;Bielsko;Bielsko;;Bielsko;;;;;;;;;x
b_bielsko_adj;Bielskian;;bielsker;;;;;;;;;;;x
b_bielsko_2;Bielsko;Bielsko;Bielsko;;Bielsko;;;;;;;;;x
b_bielsko_2_adj;Bielskian;;bielsker;;;;;;;;;;;x
b_bielsko_3;Bielsko;Bielsko;Bielsko;;Bielsko;;;;;;;;;x
b_bielsko_3_adj;Bielskian;;bielsker;;;;;;;;;;;x
b_bielsko_4;Bielsko;Bielsko;Bielsko;;Bielsko;;;;;;;;;x
b_bielsko_4_adj;Bielskian;;bielsker;;;;;;;;;;;x
b_bielsko_5;Bielsko;Bielsko;Bielsko;;Bielsko;;;;;;;;;x
b_bielsko_5_adj;Bielskian;;bielsker;;;;;;;;;;;x
b_bihac;Bihac;Bihac;Bihac;;Bihac;;;;;;;;;x
b_bihac_adj;Bihacian;;bihacer;;;;;;;;;;;x
b_bihac_2;Bihac;Bihac;Bihac;;Bihac;;;;;;;;;x
b_bihac_2_adj;Bihacian;;bihacer;;;;;;;;;;;x
b_bihac_3;Bihac;Bihac;Bihac;;Bihac;;;;;;;;;x
b_bihac_3_adj;Bihacian;;bihacer;;;;;;;;;;;x
b_bihac_4;Bihac;Bihac;Bihac;;Bihac;;;;;;;;;x
b_bihac_4_adj;Bihacian;;bihacer;;;;;;;;;;;x
b_bihac_5;Bihac;Bihac;Bihac;;Bihac;;;;;;;;;x
b_bihac_5_adj;Bihacian;;bihacer;;;;;;;;;;;x
b_bijapur;Bijapur;Bijapur;Bijapur;;Bijapur;;;;;;;;;x
b_bijapur_adj;Bijapurian;;bijapurer;;;;;;;;;;;x
b_bijapur_2;Bijapur;Bijapur;Bijapur;;Bijapur;;;;;;;;;x
b_bijapur_2_adj;Bijapurian;;bijapurer;;;;;;;;;;;x
b_bijapur_3;Bijapur;Bijapur;Bijapur;;Bijapur;;;;;;;;;x
b_bijapur_3_adj;Bijapurian;;bijapurer;;;;;;;;;;;x
b_bijapur_4;Bijapur;Bijapur;Bijapur;;Bijapur;;;;;;;;;x
b_bijapur_4_adj;Bijapurian;;bijapurer;;;;;;;;;;;x
b_bijapur_5;Bijapur;Bijapur;Bijapur;;Bijapur;;;;;;;;;x
b_bijapur_5_adj;Bijapurian;;bijapurer;;;;;;;;;;;x
b_bikaner;Bikaner;Bikaner;Bikaner;;Bikaner;;;;;;;;;x
b_bikaner_adj;Bikanerian;;bikanerer;;;;;;;;;;;x
b_bikaner_2;Bikaner;Bikaner;Bikaner;;Bikaner;;;;;;;;;x
b_bikaner_2_adj;Bikanerian;;bikanerer;;;;;;;;;;;x
b_bikaner_3;Bikaner;Bikaner;Bikaner;;Bikaner;;;;;;;;;x
b_bikaner_3_adj;Bikanerian;;bikanerer;;;;;;;;;;;x
b_bikaner_4;Bikaner;Bikaner;Bikaner;;Bikaner;;;;;;;;;x
b_bikaner_4_adj;Bikanerian;;bikanerer;;;;;;;;;;;x
b_bikaner_5;Bikaner;Bikaner;Bikaner;;Bikaner;;;;;;;;;x
b_bikaner_5_adj;Bikanerian;;bikanerer;;;;;;;;;;;x
b_bilaspur;Bilaspur;Bilaspur;Bilaspur;;Bilaspur;;;;;;;;;x
b_bilaspur_adj;Bilaspurian;;bilaspurer;;;;;;;;;;;x
b_bilaspur_2;Bilaspur;Bilaspur;Bilaspur;;Bilaspur;;;;;;;;;x
b_bilaspur_2_adj;Bilaspurian;;bilaspurer;;;;;;;;;;;x
b_bilaspur_3;Bilaspur;Bilaspur;Bilaspur;;Bilaspur;;;;;;;;;x
b_bilaspur_3_adj;Bilaspurian;;bilaspurer;;;;;;;;;;;x
b_bilaspur_4;Bilaspur;Bilaspur;Bilaspur;;Bilaspur;;;;;;;;;x
b_bilaspur_4_adj;Bilaspurian;;bilaspurer;;;;;;;;;;;x
b_bilaspur_5;Bilaspur;Bilaspur;Bilaspur;;Bilaspur;;;;;;;;;x
b_bilaspur_5_adj;Bilaspurian;;bilaspurer;;;;;;;;;;;x
b_bilbao;Bilbao;Bilbao;Bilbao;;Bilbao;;;;;;;;;x
b_bilbao_adj;Bilbian;;bilber;;;;;;;;;;;x
b_bilbao_2;Bilbao;Bilbao;Bilbao;;Bilbao;;;;;;;;;x
b_bilbao_2_adj;Bilbian;;bilber;;;;;;;;;;;x
b_bilbao_3;Bilbao;Bilbao;Bilbao;;Bilbao;;;;;;;;;x
b_bilbao_3_adj;Bilbian;;bilber;;;;;;;;;;;x
b_bilbao_4;Bilbao;Bilbao;Bilbao;;Bilbao;;;;;;;;;x
b_bilbao_4_adj;Bilbian;;bilber;;;;;;;;;;;x
b_bilbao_5;Bilbao;Bilbao;Bilbao;;Bilbao;;;;;;;;;x
b_bilbao_5_adj;Bilbian;;bilber;;;;;;;;;;;x
b_bilma;Bilma;Bilma;Bilma;;Bilma;;;;;;;;;x
b_bilma_adj;Bilman;;bilmer;;;;;;;;;;;x
b_bilma_2;Bilma;Bilma;Bilma;;Bilma;;;;;;;;;x
b_bilma_2_adj;Bilman;;bilmer;;;;;;;;;;;x
b_bilma_3;Bilma;Bilma;Bilma;;Bilma;;;;;;;;;x
b_bilma_3_adj;Bilman;;bilmer;;;;;;;;;;;x
b_bilma_4;Bilma;Bilma;Bilma;;Bilma;;;;;;;;;x
b_bilma_4_adj;Bilman;;bilmer;;;;;;;;;;;x
b_bilma_5;Bilma;Bilma;Bilma;;Bilma;;;;;;;;;x
b_bilma_5_adj;Bilman;;bilmer;;;;;;;;;;;x
b_bir_lehlu;Bir Lehlu;Bir Lehlu;Bir Lehlu;;Bir Lehlu;;;;;;;;;x
b_bir_lehlu_adj;Bir Lehlian;;Bir Lehler;;;;;;;;;;;x
b_bir_lehlu_2;Bir Lehlu;Bir Lehlu;Bir Lehlu;;Bir Lehlu;;;;;;;;;x
b_bir_lehlu_2_adj;Bir Lehlian;;Bir Lehler;;;;;;;;;;;x
b_bir_murghayn;Bir Murghayn;Bir Murghayn;Bir Murghayn;;Bir Murghayn;;;;;;;;;x
b_bir_murghayn_adj;Bir Murghaynian;;Bir Murghayner;;;;;;;;;;;x
b_bir_murghayn_2;Bir Murghayn;Bir Murghayn;Bir Murghayn;;Bir Murghayn;;;;;;;;;x
b_bir_murghayn_2_adj;Bir Murghaynian;;Bir Murghayner;;;;;;;;;;;x
b_bir_murghayn_3;Bir Murghayn;Bir Murghayn;Bir Murghayn;;Bir Murghayn;;;;;;;;;x
b_bir_murghayn_3_adj;Bir Murghaynian;;Bir Murghayner;;;;;;;;;;;x
b_bir_murghayn_4;Bir Murghayn;Bir Murghayn;Bir Murghayn;;Bir Murghayn;;;;;;;;;x
b_bir_murghayn_4_adj;Bir Murghaynian;;Bir Murghayner;;;;;;;;;;;x
b_bir_murghayn_5;Bir Murghayn;Bir Murghayn;Bir Murghayn;;Bir Murghayn;;;;;;;;;x
b_bir_murghayn_5_adj;Bir Murghaynian;;Bir Murghayner;;;;;;;;;;;x
b_birjand;Birjand;Birjand;Birjand;;Birjand;;;;;;;;;x
b_birjand_adj;Birjandian;;birjander;;;;;;;;;;;x
b_birjand_2;Birjand;Birjand;Birjand;;Birjand;;;;;;;;;x
b_birjand_2_adj;Birjandian;;birjander;;;;;;;;;;;x
b_birjand_3;Birjand;Birjand;Birjand;;Birjand;;;;;;;;;x
b_birjand_3_adj;Birjandian;;birjander;;;;;;;;;;;x
b_birjand_4;Birjand;Birjand;Birjand;;Birjand;;;;;;;;;x
b_birjand_4_adj;Birjandian;;birjander;;;;;;;;;;;x
b_birjand_5;Birjand;Birjand;Birjand;;Birjand;;;;;;;;;x
b_birjand_5_adj;Birjandian;;birjander;;;;;;;;;;;x
b_birmingham;Birmingham;Birmingham;Birmingham;;Birmingham;;;;;;;;;x
b_birmingham_adj;Birminghamian;;birminghamer;;;;;;;;;;;x
b_birmingham_2;Birmingham;Birmingham;Birmingham;;Birmingham;;;;;;;;;x
b_birmingham_2_adj;Birminghamian;;birminghamer;;;;;;;;;;;x
b_birmingham_3;Birmingham;Birmingham;Birmingham;;Birmingham;;;;;;;;;x
b_birmingham_3_adj;Birminghamian;;birminghamer;;;;;;;;;;;x
b_birmingham_4;Birmingham;Birmingham;Birmingham;;Birmingham;;;;;;;;;x
b_birmingham_4_adj;Birminghamian;;birminghamer;;;;;;;;;;;x
b_birmingham_5;Birmingham;Birmingham;Birmingham;;Birmingham;;;;;;;;;x
b_birmingham_5_adj;Birminghamian;;birminghamer;;;;;;;;;;;x
b_bischofshofen;Bischofshofen;Bischofshofen;Bischofshofen;;Bischofshofen;;;;;;;;;x
b_bischofshofen_adj;Bischofshofenian;;bischofshofener;;;;;;;;;;;x
b_bishkek;Bishkek;Bishkek;Bishkek;;Bishkek;;;;;;;;;x
b_bishkek_adj;Bishkekian;;bishkeker;;;;;;;;;;;x
b_bishkek_2;Bishkek;Bishkek;Bishkek;;Bishkek;;;;;;;;;x
b_bishkek_2_adj;Bishkekian;;bishkeker;;;;;;;;;;;x
b_bishkek_3;Bishkek;Bishkek;Bishkek;;Bishkek;;;;;;;;;x
b_bishkek_3_adj;Bishkekian;;bishkeker;;;;;;;;;;;x
b_bishkek_4;Bishkek;Bishkek;Bishkek;;Bishkek;;;;;;;;;x
b_bishkek_4_adj;Bishkekian;;bishkeker;;;;;;;;;;;x
b_bishkek_5;Bishkek;Bishkek;Bishkek;;Bishkek;;;;;;;;;x
b_bishkek_5_adj;Bishkekian;;bishkeker;;;;;;;;;;;x
b_biskra;Biskra;Biskra;Biskra;;Biskra;;;;;;;;;x
b_biskra_adj;Biskran;;biskrer;;;;;;;;;;;x
b_biskra_2;Biskra;Biskra;Biskra;;Biskra;;;;;;;;;x
b_biskra_2_adj;Biskran;;biskrer;;;;;;;;;;;x
b_biskra_3;Biskra;Biskra;Biskra;;Biskra;;;;;;;;;x
b_biskra_3_adj;Biskran;;biskrer;;;;;;;;;;;x
b_biskra_4;Biskra;Biskra;Biskra;;Biskra;;;;;;;;;x
b_biskra_4_adj;Biskran;;biskrer;;;;;;;;;;;x
b_biskra_5;Biskra;Biskra;Biskra;;Biskra;;;;;;;;;x
b_biskra_5_adj;Biskran;;biskrer;;;;;;;;;;;x
b_bissau;Bissau;Bissau;Bissau;;Bissau;;;;;;;;;x
b_bissau_adj;Bissian;;bisser;;;;;;;;;;;x
b_bissau_2;Bissau;Bissau;Bissau;;Bissau;;;;;;;;;x
