communist;Communist;Communist;Communist;;Communist;;;;;;;;;x
EVTDESCOryxevents.31;Today I pulled my husband aside and I told him about my political beliefs. While some ideas he countered with his own beliefs, he accepted other ideas.;Today I pulled my husband aside and I told him about my political beliefs. While some ideas he countered with his own beliefs, he accepted other ideas.;Today I pulled my husband aside and I told him about my political beliefs. While some ideas he countered with his own beliefs, he accepted other ideas.;;Today I pulled my husband aside and I told him about my political beliefs. While some ideas he countered with his own beliefs, he accepted other ideas.;;;;;;;;;x
EVTOPTAOryxevents.31;She will know Communism;She will know Communism;She will know Communism;;She will know Communism;;;;;;;;;x
EVTTOOLTIPOryx.3;Your wife decides on politics;Your wife decides on politics;Your wife decides on politics;;Your wife decides on politics;;;;;;;;;x
EVTOPTBOryxevents.31;She will know Socialism;She will know Socialism;She will know Socialism;;She will know Socialism;;;;;;;;;x
EVTOPTCOryxevents.31;She will know Liberalism;She will know Liberalism;She will know Liberalism;;She will know Liberalism;;;;;;;;;x
EVTOPTAOryxevents.43;She will know Centralism;She will know Centralism;She will know Centralism;;She will know Centralism;;;;;;;;;x
EVTOPTBOryxevents.43;She will know Conservatism;She will know Conservatism;She will know Conservatism;;She will know Conservatism;;;;;;;;;x
EVTOPTCOryxevents.43;She will know Neo-Liberalism;She will know Neo-Liberalism;She will know Neo-Liberalism;;She will know Neo-Liberalism;;;;;;;;;x
EVTOPTAOryxevents.44;She will know Fascism;She will know Fascism;She will know Fascism;;She will know Fascism;;;;;;;;;x
EVTOPTBOryxevents.44;She will know Environmentalism;She will know Environmentalism;She will know Environmentalism;;She will know Environmentalism;;;;;;;;;x
EVTOPTCOryxevents.44;She will know Globalism;She will know Globalism;She will know Globalism;;She will know Globalism;;;;;;;;;x
EVTDESCOryxevents.32;After my confrontation with my husband, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;After my confrontation with my husband, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;After my confrontation with my husband, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;;After my confrontation with my husband, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;;;;;;;;;x
EVTOPTAOryxevents.32;I agree with him.;I agree with him.;I agree with him.;;I agree with him.;;;;;;;;;x
EVTOPTBOryxevents.32;He is in the wrong!;He is in the wrong!;He is in the wrong!;;He is in the wrong!;;;;;;;;;x
EVTOPTCOryxevents.32;Stupid man, I believe in the same ideals!;Stupid man, I believe in the same ideals!;Stupid man, I believe in the same ideals!;;Stupid man, I believe in the same ideals!;;;;;;;;;x
EVTDESCOryxevents.33;After my confrontation with my husband, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;After my confrontation with my husband, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;After my confrontation with my husband, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;;After my confrontation with my husband, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;;;;;;;;;x
EVTOPTAOryxevents.33;I agree with him.;I agree with him.;I agree with him.;;I agree with him.;;;;;;;;;x
EVTOPTBOryxevents.33;He is in the wrong!;He is in the wrong!;He is in the wrong!;;He is in the wrong!;;;;;;;;;x
EVTOPTCOryxevents.33;Stupid man, I believe in the same ideals!;Stupid man, I believe in the same ideals!;Stupid man, I believe in the same ideals!;;Stupid man, I believe in the same ideals!;;;;;;;;;x
EVTDESCOryxevents.34;After my confrontation with my husband, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;After my confrontation with my husband, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;After my confrontation with my husband, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;;After my confrontation with my husband, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;;;;;;;;;x
EVTOPTAOryxevents.34;I agree with him.;I agree with him.;I agree with him.;;I agree with him.;;;;;;;;;x
EVTOPTBOryxevents.34;He is in the wrong!;He is in the wrong!;He is in the wrong!;;He is in the wrong!;;;;;;;;;x
EVTOPTCOryxevents.34;Stupid man, I believe in the same ideals!;Stupid man, I believe in the same ideals!;Stupid man, I believe in the same ideals!;;Stupid man, I believe in the same ideals!;;;;;;;;;x
EVTDESCOryxevents.35;After my confrontation with my husband, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;After my confrontation with my husband, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;After my confrontation with my husband, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;;After my confrontation with my husband, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;;;;;;;;;x
EVTOPTAOryxevents.35;I agree with him.;I agree with him.;I agree with him.;;I agree with him.;;;;;;;;;x
EVTOPTBOryxevents.35;He is in the wrong!;He is in the wrong!;He is in the wrong!;;He is in the wrong!;;;;;;;;;x
EVTOPTCOryxevents.35;Stupid man, I believe in the same ideals!;Stupid man, I believe in the same ideals!;Stupid man, I believe in the same ideals!;;Stupid man, I believe in the same ideals!;;;;;;;;;x
EVTDESCOryxevents.36;After my confrontation with my husband, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;After my confrontation with my husband, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;After my confrontation with my husband, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;;After my confrontation with my husband, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;;;;;;;;;x
EVTOPTAOryxevents.36;I agree with him.;I agree with him.;I agree with him.;;I agree with him.;;;;;;;;;x
EVTOPTBOryxevents.36;He is in the wrong!;He is in the wrong!;He is in the wrong!;;He is in the wrong!;;;;;;;;;x
EVTOPTCOryxevents.36;Stupid man, I believe in the same ideals!;Stupid man, I believe in the same ideals!;Stupid man, I believe in the same ideals!;;Stupid man, I believe in the same ideals!;;;;;;;;;x
EVTDESCOryxevents.37;After my confrontation with my husband, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;After my confrontation with my husband, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;After my confrontation with my husband, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;;After my confrontation with my husband, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;;;;;;;;;x
EVTOPTAOryxevents.37;I agree with him.;I agree with him.;I agree with him.;;I agree with him.;;;;;;;;;x
EVTOPTBOryxevents.37;He is in the wrong!;He is in the wrong!;He is in the wrong!;;He is in the wrong!;;;;;;;;;x
EVTOPTCOryxevents.37;Stupid man, I believe in the same ideals!;Stupid man, I believe in the same ideals!;Stupid man, I believe in the same ideals!;;Stupid man, I believe in the same ideals!;;;;;;;;;x
EVTDESCOryxevents.38;After my confrontation with my husband, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;After my confrontation with my husband, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;After my confrontation with my husband, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;;After my confrontation with my husband, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;;;;;;;;;x
EVTOPTAOryxevents.38;I agree with him.;I agree with him.;I agree with him.;;I agree with him.;;;;;;;;;x
EVTOPTBOryxevents.38;He is in the wrong!;He is in the wrong!;He is in the wrong!;;He is in the wrong!;;;;;;;;;x
EVTOPTCOryxevents.38;Stupid man, I believe in the same ideals!;Stupid man, I believe in the same ideals!;Stupid man, I believe in the same ideals!;;Stupid man, I believe in the same ideals!;;;;;;;;;x
EVTDESCOryxevents.39;After my confrontation with my husband, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;After my confrontation with my husband, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;After my confrontation with my husband, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;;After my confrontation with my husband, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;;;;;;;;;x
EVTOPTAOryxevents.39;I agree with him.;I agree with him.;I agree with him.;;I agree with him.;;;;;;;;;x
EVTOPTBOryxevents.39;He is in the wrong!;He is in the wrong!;He is in the wrong!;;He is in the wrong!;;;;;;;;;x
EVTOPTCOryxevents.39;Stupid man, I believe in the same ideals!;Stupid man, I believe in the same ideals!;Stupid man, I believe in the same ideals!;;Stupid man, I believe in the same ideals!;;;;;;;;;x
EVTDESCOryxevents.40;After my confrontation with my husband, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;After my confrontation with my husband, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;After my confrontation with my husband, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;;After my confrontation with my husband, I have found myself acknowledging many new ideas - perhaps even a entirely new political stance.;;;;;;;;;x
EVTOPTAOryxevents.40;I agree with him.;I agree with him.;I agree with him.;;I agree with him.;;;;;;;;;x
EVTOPTBOryxevents.40;He is in the wrong!;He is in the wrong!;He is in the wrong!;;He is in the wrong!;;;;;;;;;x
EVTOPTCOryxevents.40;Stupid man, I believe in the same ideals!;Stupid man, I believe in the same ideals!;Stupid man, I believe in the same ideals!;;Stupid man, I believe in the same ideals!;;;;;;;;;x
EVTOPTDOryxevents.18;Next Page please;Next Page please;Next Page please;;Next Page please;;;;;;;;;x
EVTOPTDOryxevents.41;Next Page please;Next Page please;Next Page please;;Next Page please;;;;;;;;;x
EVTOPTDOryxevents.31;Next Page please;Next Page please;Next Page please;;Next Page please;;;;;;;;;x
EVTOPTDOryxevents.43;Next Page please;Next Page please;Next Page please;;Next Page please;;;;;;;;;x
EVTDESCOryxevents.45;Studying in my guardians court has lead to their political beliefs slowly being rubbed off on me. I have decided to confront these ideals, and have decided to ask my guardian about them.;Studying in my guardians court has lead to their political beliefs slowly being rubbed off on me. I have decided to confront these ideals, and have decided to ask my guardian about them.;Studying in my guardians court has lead to their political beliefs slowly being rubbed off on me. I have decided to confront these ideals, and have decided to ask my guardian about them.;;Studying in my guardians court has lead to their political beliefs slowly being rubbed off on me. I have decided to confront these ideals, and have decided to ask my guardian about them.;;;;;;;;;x
EVTOPTAOryxevents.45;Why do you want change?;Why do you want change?;Why do you want change?;;Why do you want change?;;;;;;;;;x
EVTDESCOryxevents.46;Today my ward confronted me about politics, asking about the biases that I have mentioned throughout our studies. I must tell my ward about the changes that must come to the world if it is to escape chaos.;Today my ward confronted me about politics, asking about the biases that I have mentioned throughout our studies. I must tell my ward about the changes that must come to the world if it is to escape chaos.;Today my ward confronted me about politics, asking about the biases that I have mentioned throughout our studies. I must tell my ward about the changes that must come to the world if it is to escape chaos.;;Today my ward confronted me about politics, asking about the biases that I have mentioned throughout our studies. I must tell my ward about the changes that must come to the world if it is to escape chaos.;;;;;;;;;x
EVTDESCOryxevents.47;Today my ward confronted me about politics, asking about the biases that I have mentioned throughout our studies. I must tell my ward about the changes that must come to the world if it is to escape chaos.;Today my ward confronted me about politics, asking about the biases that I have mentioned throughout our studies. I must tell my ward about the changes that must come to the world if it is to escape chaos.;Today my ward confronted me about politics, asking about the biases that I have mentioned throughout our studies. I must tell my ward about the changes that must come to the world if it is to escape chaos.;;Today my ward confronted me about politics, asking about the biases that I have mentioned throughout our studies. I must tell my ward about the changes that must come to the world if it is to escape chaos.;;;;;;;;;x
EVTDESCOryxevents.48;Today my ward confronted me about politics, asking about the biases that I have mentioned throughout our studies. I must tell my ward about the changes that must come to the world if it is to escape chaos.;Today my ward confronted me about politics, asking about the biases that I have mentioned throughout our studies. I must tell my ward about the changes that must come to the world if it is to escape chaos.;Today my ward confronted me about politics, asking about the biases that I have mentioned throughout our studies. I must tell my ward about the changes that must come to the world if it is to escape chaos.;;Today my ward confronted me about politics, asking about the biases that I have mentioned throughout our studies. I must tell my ward about the changes that must come to the world if it is to escape chaos.;;;;;;;;;x
EVTOPTAOryxevents.46;Let me tell you about communism...;Let me tell you about communism...;Let me tell you about communism...;;Let me tell you about communism...;;;;;;;;;x
EVTOPTBOryxevents.46;Let me tell you about socialism...;Let me tell you about socialism...;Let me tell you about socialism...;;Let me tell you about socialism...;;;;;;;;;x
EVTOPTCOryxevents.46;Let me tell you about liberalism...;Let me tell you about liberalism...;Let me tell you about liberalism...;;Let me tell you about liberalism...;;;;;;;;;x
EVTOPTDOryxevents.46;Next page for your decision;Next page for your decision;Next page for your decision;;Next page for your decision;;;;;;;;;x
EVTOPTAOryxevents.47;Let me tell you about conservatism...;Let me tell you about conservatism...;Let me tell you about conservatism...;;Let me tell you about conservatism...;;;;;;;;;x
EVTOPTBOryxevents.47;Let me tell you about neo-liberalism...;Let me tell you about neo-liberalism...;Let me tell you about neo-liberalism...;;Let me tell you about neo-liberalism...;;;;;;;;;x
EVTOPTCOryxevents.47;Let me tell you about fascism...;Let me tell you about fascism...;Let me tell you about fascism...;;Let me tell you about fascism...;;;;;;;;;x
EVTOPTDOryxevents.47;Next page for your decision;Next page for your decision;Next page for your decision;;Next page for your decision;;;;;;;;;x
EVTOPTAOryxevents.48;Let me tell you about centralism...;Let me tell you about centralism...;Let me tell you about centralism...;;Let me tell you about centralism...;;;;;;;;;x
EVTOPTBOryxevents.48;Let me tell you about environmentalism...;Let me tell you about environmentalism...;Let me tell you about environmentalism...;;Let me tell you about environmentalism...;;;;;;;;;x
EVTOPTCOryxevents.48;Let me tell you about globalism...;Let me tell you about globalism...;Let me tell you about globalism...;;Let me tell you about globalism...;;;;;;;;;x
EVTDESCOryxevents.49;My guardian has taught me about 'politics.' I have decided to agree with many of the teachings, because after all, this is my guardian.;My guardian has taught me about 'politics.' I have decided to agree with many of the teachings, because after all, this is my guardian;My guardian has taught me about 'politics.' I have decided to agree with many of the teachings, because after all, this is my guardian;;My guardian has taught me about 'politics.' I have decided to agree with many of the teachings, because after all, this is my guardian;;;;;;;;;x
EVTDESCOryxevents.50;My guardian has taught me about 'politics.' I have decided to agree with many of the teachings, because after all, this is my guardian;My guardian has taught me about 'politics.' I have decided to agree with many of the teachings, because after all, this is my guardian;My guardian has taught me about 'politics.' I have decided to agree with many of the teachings, because after all, this is my guardian;;My guardian has taught me about 'politics.' I have decided to agree with many of the teachings, because after all, this is my guardian;;;;;;;;;x
EVTDESCOryxevents.51;My guardian has taught me about 'politics.' I have decided to agree with many of the teachings, because after all, this is my guardian;My guardian has taught me about 'politics.' I have decided to agree with many of the teachings, because after all, this is my guardian;My guardian has taught me about 'politics.' I have decided to agree with many of the teachings, because after all, this is my guardian;;My guardian has taught me about 'politics.' I have decided to agree with many of the teachings, because after all, this is my guardian;;;;;;;;;x
EVTDESCOryxevents.52;My guardian has taught me about 'politics.' I have decided to agree with many of the teachings, because after all, this is my guardian;My guardian has taught me about 'politics.' I have decided to agree with many of the teachings, because after all, this is my guardian;My guardian has taught me about 'politics.' I have decided to agree with many of the teachings, because after all, this is my guardian;;My guardian has taught me about 'politics.' I have decided to agree with many of the teachings, because after all, this is my guardian;;;;;;;;;x
EVTDESCOryxevents.53;My guardian has taught me about 'politics.' I have decided to agree with many of the teachings, because after all, this is my guardian;My guardian has taught me about 'politics.' I have decided to agree with many of the teachings, because after all, this is my guardian;My guardian has taught me about 'politics.' I have decided to agree with many of the teachings, because after all, this is my guardian;;My guardian has taught me about 'politics.' I have decided to agree with many of the teachings, because after all, this is my guardian;;;;;;;;;x
EVTDESCOryxevents.54;My guardian has taught me about 'politics.' I have decided to agree with many of the teachings, because after all, this is my guardian;My guardian has taught me about 'politics.' I have decided to agree with many of the teachings, because after all, this is my guardian;My guardian has taught me about 'politics.' I have decided to agree with many of the teachings, because after all, this is my guardian;;My guardian has taught me about 'politics.' I have decided to agree with many of the teachings, because after all, this is my guardian;;;;;;;;;x
EVTDESCOryxevents.55;My guardian has taught me about 'politics.' I have decided to agree with many of the teachings, because after all, this is my guardian;My guardian has taught me about 'politics.' I have decided to agree with many of the teachings, because after all, this is my guardian;My guardian has taught me about 'politics.' I have decided to agree with many of the teachings, because after all, this is my guardian;;My guardian has taught me about 'politics.' I have decided to agree with many of the teachings, because after all, this is my guardian;;;;;;;;;x
EVTDESCOryxevents.56;My guardian has taught me about 'politics.' I have decided to agree with many of the teachings, because after all, this is my guardian;My guardian has taught me about 'politics.' I have decided to agree with many of the teachings, because after all, this is my guardian;My guardian has taught me about 'politics.' I have decided to agree with many of the teachings, because after all, this is my guardian;;My guardian has taught me about 'politics.' I have decided to agree with many of the teachings, because after all, this is my guardian;;;;;;;;;x
EVTDESCOryxevents.57;My guardian has taught me about 'politics.' I have decided to agree with many of the teachings, because after all, this is my guardian;My guardian has taught me about 'politics.' I have decided to agree with many of the teachings, because after all, this is my guardian;My guardian has taught me about 'politics.' I have decided to agree with many of the teachings, because after all, this is my guardian;;My guardian has taught me about 'politics.' I have decided to agree with many of the teachings, because after all, this is my guardian;;;;;;;;;x
EVTOPTAOryxevents.49;I now follow...;I now follow...;I now follow...;;I now follow;;;;;;;;;x
EVTOPTAOryxevents.50;I now follow...;I now follow...;I now follow...;;I now follow;;;;;;;;;x
EVTOPTAOryxevents.51;I now follow...;I now follow...;I now follow...;;I now follow;;;;;;;;;x
EVTOPTAOryxevents.52;I now follow...;I now follow...;I now follow...;;I now follow;;;;;;;;;x
EVTOPTAOryxevents.53;I now follow...;I now follow...;I now follow...;;I now follow;;;;;;;;;x
EVTOPTAOryxevents.54;I now follow...;I now follow...;I now follow...;;I now follow;;;;;;;;;x
EVTOPTAOryxevents.55;I now follow...;I now follow...;I now follow...;;I now follow;;;;;;;;;x
EVTOPTAOryxevents.56;I now follow...;I now follow...;I now follow...;;I now follow;;;;;;;;;x
EVTOPTAOryxevents.57;I now follow...;I now follow...;I now follow...;;I now follow;;;;;;;;;x
EVTDESCOryxevents.58;It has come to my attention that my liege chooses to ignore the problems with society, rather than use the position to further change, perhaps I ought to enlighten my liege on what he is missing.;It has come to my attention that my liege chooses to ignore the problems with society, rather than use the position to further change, perhaps I ought to enlighten my liege on what he is missing.;It has come to my attention that my liege chooses to ignore the problems with society, rather than use the position to further change, perhaps I ought to enlighten my liege on what he is missing.;;It has come to my attention that my liege chooses to ignore the problems with society, rather than use the position to further change, perhaps I ought to enlighten my liege on what he is missing.;;;;;;;;;x
EVTOPTAOryxevents.58;Communism must be spread;Communism must be spread;Communism must be spread;;Communism must be spread;;;;;;;;;x
EVTOPTBOryxevents.58;I will further Liberalism!;I will further Liberalism!;I will further Liberalism!;;I will further Liberalism!;;;;;;;;;x
EVTOPTCOryxevents.58;This will only lead to future conflict;This will only lead to future conflict;This will only lead to future conflict;;This will only lead to future conflict;;;;;;;;;x
EVTTOOLTIPOryxevents.7;Your liege decides on politics;Your liege decides on politics;Your liege decides on politics;;Your liege decides on politics;;;;;;;;;x
EVTDESCOryxevents.59;One of my vassals has come to me bringing pamphlets and fiery red flags, calling upon me to support a 'revolution.' These ideals seem dangerous to almost every one of my courtiers, but maybe they are the correct path forward.;One of my vassals has come to me bringing pamphlets and fiery red flags, calling upon me to support a 'revolution.' These ideals seem dangerous to almost every one of my courtiers, but maybe they are the correct path forward.;One of my vassals has come to me bringing pamphlets and fiery red flags, calling upon me to support a 'revolution.' These ideals seem dangerous to almost every one of my courtiers, but maybe they are the correct path forward.;;One of my vassals has come to me bringing pamphlets and fiery red flags, calling upon me to support a 'revolution.' These ideals seem dangerous to almost every one of my courtiers, but maybe they are the correct path forward.;;;;;;;;;x
EVTOPTAOryxevents.59;For the Proletariat!;For the Proletariat!;For the Proletariat!;;For the Proletariat!;;;;;;;;;x
EVTOPTBOryxevents.59;Are you crazy?;Are you crazy?;Are you crazy?;;Are you crazy?;;;;;;;;;x
EVTDESCOryxevents.60;While discussing matters of politics, one of my vassals stepped up and argued against my policies. Many of the arguments presented just sound silly, however others appeared as the perfect solutions to many of my realms problems.;While discussing matters of politics, one of my vassals stepped up and argued against my policies. Many of the arguments presented just sound silly, however others appeared as the perfect solutions to many of my realms problems.;While discussing matters of politics, one of my vassals stepped up and argued against my policies. Many of the arguments presented just sound silly, however others appeared as the perfect solutions to many of my realms problems.;;While discussing matters of politics, one of my vassals stepped up and argued against my policies. Many of the arguments presented just sound silly, however others appeared as the perfect solutions to many of my realms problems.;;;;;;;;;x
EVTOPTAOryxevents.60;You are right!;You are right!;You are right!;;You are right!;;;;;;;;;x
EVTOPTBOryxevents.60;What are you talking about?;What are you talking about?;What are you talking about?;;What are you talking about?;;;;;;;;;x
EVTOPTCOryxevents.60;Perhaps I should teach you a lesson...;Perhaps I should teach you a lesson...;Perhaps I should teach you a lesson...;;Perhaps I should teach you a lesson...;;;;;;;;;x
EVTDESCOryxevents.61;Rather than accept my opinion, my liege has sent officials to my court in order to ensure his policies are carried out without interruption. Maybe I should 'accept' his ideologies in order to get them to leave.;Rather than accept my opinion, my liege has sent officials to my court in order to ensure his policies are carried out without interruption. Maybe I should 'accept' his ideologies in order to get them to leave.;Rather than accept my opinion, my liege has sent officials to my court in order to ensure his policies are carried out without interruption. Maybe I should 'accept' his ideologies in order to get them to leave.;;Rather than accept my opinion, my liege has sent officials to my court in order to ensure his policies are carried out without interruption. Maybe I should 'accept' his ideologies in order to get them to leave.;;;;;;;;;x
EVTOPTAOryxevents.61;Yes, the right is 'right'...;Yes, the right is 'right'...;Yes, the right is 'right'...;;Yes, the right is 'right'...;;;;;;;;;x
EVTOPTBOryxevents.61;I'll just be more secretive;I'll just be more secretive;I'll just be more secretive;;I'll just be more secretive;;;;;;;;;x
EVTDESCOryxevents.62;It has come to my attention that my liege chooses to ignore the problems with society, rather than use the position to further change, perhaps I ought to enlighten my liege on what he is missing.;It has come to my attention that my liege chooses to ignore the problems with society, rather than use the position to further change, perhaps I ought to enlighten my liege on what he is missing.;It has come to my attention that my liege chooses to ignore the problems with society, rather than use the position to further change, perhaps I ought to enlighten my liege on what he is missing.;;It has come to my attention that my liege chooses to ignore the problems with society, rather than use the position to further change, perhaps I ought to enlighten my liege on what he is missing.;;;;;;;;;x
EVTOPTAOryxevents.62;Fascism must be spread;Fascism must be spread;Fascism must be spread;;Fascism must be spread;;;;;;;;;x
EVTOPTBOryxevents.62;I will further Conservatism!;I will further Conservatism!;I will further Conservatism!;;I will further Conservatism!;;;;;;;;;x
EVTDESCOryxevents.63;One of my vassals has come to me bringing armbands and political papers, calling on me to take up arms against the immigrants and expand the states power. These ideals seem dangerous to almost every one of my courtiers, but maybe they are the correct path forward.;One of my vassals has come to me bringing armbands and political papers, calling on me to take up arms against the immigrants and expand the states power. These ideals seem dangerous to almost every one of my courtiers, but maybe they are the correct path forward.;One of my vassals has come to me bringing armbands and political papers, calling on me to take up arms against the immigrants and expand the states power. These ideals seem dangerous to almost every one of my courtiers, but maybe they are the correct path forward.;;One of my vassals has come to me bringing armbands and political papers, calling on me to take up arms against the immigrants and expand the states power. These ideals seem dangerous to almost every one of my courtiers, but maybe they are the correct path forward.;;;;;;;;;x
EVTOPTAOryxevents.63;For the state!;For the state!;For the state!;;For the state!;;;;;;;;;x
EVTOPTBOryxevents.63;Are you crazy?;Are you crazy?;Are you crazy?;;Are you crazy?;;;;;;;;;x
EVTDESCOryxevents.64;While discussing matters of politics, one of my vassals stepped up and argued against my policies. Many of the arguments presented just sound silly, however others appeared as the perfect solutions to many of my realms problems.;While discussing matters of politics, one of my vassals stepped up and argued against my policies. Many of the arguments presented just sound silly, however others appeared as the perfect solutions to many of my realms problems.;While discussing matters of politics, one of my vassals stepped up and argued against my policies. Many of the arguments presented just sound silly, however others appeared as the perfect solutions to many of my realms problems.;;While discussing matters of politics, one of my vassals stepped up and argued against my policies. Many of the arguments presented just sound silly, however others appeared as the perfect solutions to many of my realms problems.;;;;;;;;;x
EVTOPTAOryxevents.64;You are right!;You are right!;You are right!;;You are right!;;;;;;;;;x
EVTOPTBOryxevents.64;What are you talking about?;What are you talking about?;What are you talking about?;;What are you talking about?;;;;;;;;;x
EVTOPTCOryxevents.64;Perhaps I should teach you a lesson...;Perhaps I should teach you a lesson...;Perhaps I should teach you a lesson...;;Perhaps I should teach you a lesson...;;;;;;;;;x
EVTDESCOryxevents.65;Rather than accept my opinion, my liege has sent officials to my court in order to ensure his policies are carried out without interruption. Maybe I should 'accept' his ideologies in order to get them to leave.;Rather than accept my opinion, my liege has sent officials to my court in order to ensure his policies are carried out without interruption. Maybe I should 'accept' his ideologies in order to get them to leave.;Rather than accept my opinion, my liege has sent officials to my court in order to ensure his policies are carried out without interruption. Maybe I should 'accept' his ideologies in order to get them to leave.;;Rather than accept my opinion, my liege has sent officials to my court in order to ensure his policies are carried out without interruption. Maybe I should 'accept' his ideologies in order to get them to leave.;;;;;;;;;x
EVTOPTAOryxevents.65;Yes, the left is 'best'...;Yes, the left is 'best'...;Yes, the left is 'best'...;;Yes, the left is 'best'...;;;;;;;;;x
EVTOPTBOryxevents.65;I'll just be more secretive;I'll just be more secretive;I'll just be more secretive;;I'll just be more secretive;;;;;;;;;x
abortion_male;Abort your wife's child;Abort your wife's child;Abort your wife's child;;Abort your wife's child;;;;;;;;;x
abortion_male_desc;I can ask my wife to abort her child, which would prevent my dynasty from growing, but also prevent me from fathering any unwanted children.;I can ask my wife to abort her child, which would prevent my dynasty from growing, but also prevent me from fathering any unwanted children.;I can ask my wife to abort her child, which would prevent my dynasty from growing, but also prevent me from fathering any unwanted children.;;I can ask my wife to abort her child, which would prevent my dynasty from growing, but also prevent me from fathering any unwanted children.;;;;;;;;;x
abortion_female;Abort my child;Abort my child;Abort my child;;Abort my child;;;;;;;;;x
abortion_female_desc;I can abort my child, which prevents my dynasty from growing, but would also prevent unwanted children.;I can abort my child, which prevents my dynasty from growing, but would also prevent unwanted children.;I can abort my child, which prevents my dynasty from growing, but would also prevent unwanted children.;;I can abort my child, which prevents my dynasty from growing, but would also prevent unwanted children.;;;;;;;;;x
abortion_male_muslim;Demand an abortion;Demand an abortion;Demand an abortion;;Demand an abortion;;;;;;;;;x
abortion_male_muslim_desc;I can demand that my wife abort her child, which would prevent my dynasty from growing, but also prevent me from fathering any unwanted children.;I can demand that my wife abort her child, which would prevent my dynasty from growing, but also prevent me from fathering any unwanted children.;I can demand that my wife abort her child, which would prevent my dynasty from growing, but also prevent me from fathering any unwanted children.;;I can demand that my wife abort her child, which would prevent my dynasty from growing, but also prevent me from fathering any unwanted children.;;;;;;;;;x
EVTDESCOryx_abortion.01;My husband has kindly asked that I abort my child. This would prevent any unwanted children, but also prevents any dynastic growth.;My husband has kindly asked that I abort my child. This would prevent any unwanted children, but also prevents any dynastic growth.;My husband has kindly asked that I abort my child. This would prevent any unwanted children, but also prevents any dynastic growth.;;My husband has kindly asked that I abort my child. This would prevent any unwanted children, but also prevents any dynastic growth.;;;;;;;;;x
EVTOPTAOryx_abortion.01;I will get an abortion;I will get an abortion;I will get an abortion;;I will get an abortion;;;;;;;;;x
EVTOPTBOryx_abortion.01;Why would I kill my child?;Why would I kill my child?;Why would I kill my child?;;Why would I kill my child?;;;;;;;;;x
EVTDESCOryx_abortion.02;I have decided to pursue a abortion, which would kill the fetus that I am currently carrying.;I have decided to pursue a abortion, which would kill the fetus that I am currently carrying.;I have decided to pursue a abortion, which would kill the fetus that I am currently carrying.;;I have decided to pursue a abortion, which would kill the fetus that I am currently carrying.;;;;;;;;;x
EVTOPTAOryx_abortion.02;I will get an abortion;I will get an abortion;I will get an abortion;;I will get an abortion;;;;;;;;;x
EVTOPTBOryx_abortion.02;Why would I kill my child?;Why would I kill my child?;Why would I kill my child?;;Why would I kill my child?;;;;;;;;;x
EVTDESCOryx_abortion.03;My husband has 'kindly asked' that I abort my child. This would prevent any unwanted children, but also prevents any dynastic growth.;My husband has 'kindly asked' that I abort my child. This would prevent any unwanted children, but also prevents any dynastic growth.;My husband has 'kindly asked' that I abort my child. This would prevent any unwanted children, but also prevents any dynastic growth.;;My husband has 'kindly asked' that I abort my child. This would prevent any unwanted children, but also prevents any dynastic growth.;;;;;;;;;x
EVTOPTAOryx_abortion.03;I will get an abortion;I will get an abortion;I will get an abortion;;I will get an abortion;;;;;;;;;x
